States,Account_Length,Area-Code,Phone,International Plan,Vmail Plan,Vmail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge ,International Mins,International Calls,International Charge,Cutserv Calls,Churn_Flag
NM,68.00,415.00, 338-2768,0.00,0.00,0.00,249.00,59.00,42.00,199.00,126.00,17.00,113.00,117.00,5.00,7.00,3.00,2.00,2.00,0.00
OH,114.00,415.00, 369-4012,0.00,0.00,0.00,188.00,109.00,32.00,155.00,97.00,13.00,214.00,102.00,10.00,10.00,3.00,3.00,2.00,0.00
MI,61.00,415.00, 342-8348,0.00,0.00,0.00,189.00,105.00,32.00,154.00,116.00,13.00,213.00,106.00,10.00,10.00,2.00,3.00,2.00,0.00
WY,148.00,408.00, 377-3417,0.00,0.00,0.00,243.00,115.00,41.00,192.00,91.00,16.00,118.00,93.00,5.00,13.00,5.00,4.00,2.00,0.00
MO,90.00,408.00, 398-4699,1.00,0.00,0.00,207.00,87.00,35.00,209.00,87.00,18.00,146.00,95.00,7.00,4.00,5.00,1.00,2.00,0.00
AR,99.00,408.00, 342-5216,0.00,1.00,21.00,180.00,97.00,31.00,168.00,47.00,14.00,203.00,84.00,9.00,15.00,5.00,4.00,2.00,0.00
ID,68.00,510.00, 403-9199,0.00,1.00,30.00,123.00,93.00,21.00,234.00,91.00,20.00,200.00,144.00,9.00,10.00,2.00,3.00,2.00,0.00
SD,110.00,408.00, 357-4078,0.00,1.00,40.00,203.00,103.00,34.00,119.00,128.00,10.00,235.00,98.00,11.00,9.00,9.00,2.00,2.00,0.00
RI,140.00,510.00, 388-8481,0.00,0.00,0.00,187.00,110.00,32.00,158.00,70.00,13.00,211.00,123.00,10.00,9.00,2.00,2.00,2.00,0.00
OH,84.00,408.00, 375-9999,1.00,0.00,0.00,299.00,71.00,51.00,62.00,88.00,5.00,197.00,89.00,9.00,7.00,7.00,2.00,2.00,0.00
NC,72.00,415.00, 368-5758,0.00,0.00,0.00,138.00,106.00,23.00,144.00,94.00,12.00,274.00,110.00,12.00,10.00,6.00,3.00,2.00,0.00
ME,39.00,408.00, 366-5640,0.00,0.00,0.00,154.00,104.00,26.00,204.00,112.00,17.00,196.00,92.00,9.00,10.00,4.00,3.00,2.00,0.00
MN,46.00,415.00, 355-8887,0.00,0.00,0.00,214.00,72.00,36.00,164.00,104.00,14.00,178.00,113.00,8.00,8.00,3.00,2.00,2.00,0.00
MT,185.00,408.00, 422-4394,0.00,1.00,29.00,151.00,121.00,26.00,245.00,88.00,21.00,154.00,91.00,7.00,14.00,2.00,4.00,2.00,0.00
OH,29.00,415.00, 397-3058,1.00,1.00,37.00,235.00,101.00,40.00,183.00,79.00,16.00,140.00,106.00,6.00,6.00,7.00,2.00,2.00,0.00
WY,122.00,415.00, 357-7385,0.00,0.00,0.00,119.00,93.00,20.00,224.00,103.00,19.00,212.00,122.00,10.00,9.00,4.00,2.00,2.00,0.00
AR,87.00,510.00, 350-8219,0.00,0.00,0.00,121.00,99.00,20.00,210.00,81.00,18.00,225.00,141.00,10.00,9.00,2.00,2.00,2.00,0.00
SC,152.00,408.00, 397-9933,0.00,0.00,0.00,141.00,92.00,24.00,187.00,96.00,16.00,227.00,89.00,10.00,10.00,5.00,3.00,2.00,0.00
OR,120.00,415.00, 368-8283,0.00,0.00,0.00,252.00,120.00,43.00,150.00,106.00,13.00,152.00,96.00,7.00,10.00,1.00,3.00,2.00,0.00
CA,113.00,415.00, 370-2892,0.00,0.00,0.00,188.00,97.00,32.00,208.00,118.00,18.00,159.00,101.00,7.00,9.00,6.00,2.00,2.00,0.00
DC,139.00,510.00, 368-8964,0.00,0.00,0.00,203.00,81.00,35.00,153.00,99.00,13.00,198.00,76.00,9.00,10.00,3.00,3.00,2.00,0.00
KS,67.00,510.00, 366-4426,0.00,0.00,0.00,129.00,78.00,22.00,188.00,116.00,16.00,235.00,102.00,11.00,11.00,3.00,3.00,2.00,0.00
ID,7.00,408.00, 383-7989,0.00,0.00,0.00,99.00,85.00,17.00,200.00,80.00,17.00,252.00,68.00,11.00,12.00,7.00,3.00,2.00,0.00
ND,12.00,510.00, 379-5211,1.00,0.00,0.00,217.00,117.00,37.00,117.00,126.00,10.00,220.00,110.00,10.00,10.00,4.00,3.00,2.00,0.00
OH,78.00,408.00, 368-8555,0.00,0.00,0.00,193.00,99.00,33.00,117.00,88.00,10.00,243.00,109.00,11.00,9.00,4.00,3.00,2.00,0.00
DC,76.00,415.00, 337-1506,0.00,0.00,0.00,224.00,121.00,38.00,148.00,97.00,13.00,184.00,74.00,8.00,7.00,2.00,2.00,2.00,0.00
VA,60.00,415.00, 342-2078,0.00,0.00,0.00,230.00,91.00,39.00,158.00,67.00,13.00,162.00,76.00,7.00,13.00,3.00,4.00,2.00,0.00
VA,94.00,415.00, 365-5486,0.00,0.00,0.00,208.00,72.00,35.00,188.00,79.00,16.00,162.00,96.00,7.00,5.00,5.00,1.00,2.00,0.00
MN,186.00,415.00, 335-3913,0.00,1.00,26.00,74.00,107.00,13.00,177.00,116.00,15.00,296.00,90.00,13.00,15.00,3.00,4.00,2.00,0.00
AL,102.00,415.00, 337-1100,0.00,0.00,0.00,123.00,106.00,21.00,182.00,102.00,15.00,245.00,75.00,11.00,13.00,7.00,3.00,2.00,0.00
AL,98.00,510.00, 410-4156,0.00,0.00,0.00,172.00,77.00,29.00,235.00,90.00,20.00,140.00,125.00,6.00,15.00,4.00,4.00,2.00,0.00
AL,121.00,415.00, 414-6541,0.00,0.00,0.00,169.00,128.00,29.00,124.00,99.00,11.00,266.00,105.00,12.00,3.00,7.00,1.00,2.00,0.00
MT,94.00,510.00, 352-6483,0.00,0.00,0.00,210.00,95.00,36.00,191.00,87.00,16.00,151.00,111.00,7.00,9.00,3.00,3.00,2.00,0.00
SD,104.00,408.00, 406-2678,0.00,0.00,0.00,200.00,92.00,34.00,119.00,87.00,10.00,237.00,65.00,11.00,6.00,6.00,2.00,2.00,0.00
MN,155.00,408.00, 374-9531,1.00,0.00,0.00,251.00,146.00,43.00,153.00,105.00,13.00,148.00,104.00,7.00,10.00,5.00,3.00,2.00,0.00
VA,77.00,510.00, 367-1398,0.00,0.00,0.00,145.00,136.00,25.00,151.00,115.00,13.00,252.00,73.00,11.00,12.00,3.00,3.00,2.00,0.00
MA,81.00,510.00, 403-4200,0.00,0.00,0.00,221.00,77.00,38.00,149.00,87.00,13.00,184.00,100.00,8.00,8.00,3.00,2.00,2.00,0.00
DE,183.00,415.00, 384-8890,0.00,1.00,8.00,87.00,119.00,15.00,285.00,97.00,24.00,180.00,133.00,8.00,9.00,2.00,2.00,2.00,0.00
OR,53.00,415.00, 386-1418,0.00,0.00,0.00,185.00,98.00,31.00,216.00,125.00,18.00,141.00,116.00,6.00,18.00,3.00,5.00,2.00,0.00
OR,92.00,415.00, 386-8536,0.00,0.00,0.00,197.00,82.00,33.00,190.00,89.00,16.00,163.00,99.00,7.00,11.00,2.00,3.00,2.00,0.00
KY,79.00,415.00, 377-5417,0.00,0.00,0.00,237.00,135.00,40.00,186.00,87.00,16.00,127.00,112.00,6.00,10.00,5.00,3.00,2.00,0.00
OR,177.00,408.00, 393-2812,0.00,0.00,0.00,85.00,77.00,14.00,258.00,109.00,22.00,211.00,66.00,9.00,8.00,5.00,2.00,2.00,0.00
NH,116.00,408.00, 369-2214,0.00,1.00,24.00,184.00,138.00,31.00,204.00,90.00,17.00,167.00,89.00,8.00,6.00,3.00,2.00,2.00,0.00
WY,116.00,510.00, 392-2733,0.00,1.00,12.00,221.00,108.00,38.00,151.00,118.00,13.00,179.00,80.00,8.00,9.00,6.00,2.00,2.00,0.00
GA,103.00,415.00, 381-9196,0.00,1.00,28.00,121.00,105.00,21.00,270.00,100.00,23.00,161.00,76.00,7.00,8.00,4.00,2.00,2.00,0.00
CA,137.00,415.00, 415-3689,0.00,1.00,22.00,190.00,42.00,32.00,179.00,137.00,15.00,180.00,126.00,8.00,11.00,5.00,3.00,2.00,0.00
OR,88.00,408.00, 418-9072,0.00,0.00,0.00,193.00,96.00,33.00,184.00,92.00,16.00,174.00,113.00,8.00,9.00,6.00,2.00,2.00,0.00
GA,111.00,415.00, 395-7027,0.00,0.00,0.00,129.00,92.00,22.00,149.00,132.00,13.00,264.00,103.00,12.00,17.00,7.00,5.00,2.00,0.00
VT,95.00,510.00, 395-6369,0.00,0.00,0.00,203.00,96.00,35.00,169.00,61.00,14.00,173.00,105.00,8.00,14.00,3.00,4.00,2.00,0.00
ME,120.00,510.00, 350-5883,0.00,0.00,0.00,199.00,56.00,34.00,230.00,73.00,20.00,120.00,81.00,5.00,10.00,3.00,3.00,2.00,0.00
CT,73.00,415.00, 356-1654,0.00,1.00,47.00,174.00,117.00,30.00,204.00,114.00,17.00,175.00,94.00,8.00,6.00,3.00,2.00,2.00,0.00
NM,1.00,510.00, 339-2703,0.00,1.00,26.00,70.00,84.00,12.00,250.00,79.00,21.00,230.00,122.00,10.00,8.00,3.00,2.00,2.00,0.00
KS,131.00,510.00, 412-3244,0.00,0.00,0.00,196.00,93.00,33.00,245.00,100.00,21.00,105.00,97.00,5.00,13.00,6.00,4.00,2.00,0.00
IA,105.00,408.00, 416-7924,1.00,1.00,31.00,173.00,103.00,29.00,114.00,102.00,10.00,262.00,104.00,12.00,11.00,4.00,3.00,2.00,0.00
OR,113.00,415.00, 367-5923,0.00,0.00,0.00,160.00,143.00,27.00,210.00,93.00,18.00,175.00,86.00,8.00,13.00,7.00,4.00,2.00,0.00
AZ,122.00,510.00, 350-7227,0.00,1.00,22.00,205.00,92.00,35.00,140.00,121.00,12.00,205.00,103.00,9.00,9.00,5.00,2.00,2.00,0.00
WI,143.00,510.00, 367-3439,0.00,0.00,0.00,194.00,99.00,33.00,124.00,133.00,11.00,230.00,99.00,10.00,10.00,2.00,3.00,2.00,0.00
SC,79.00,415.00, 348-3830,0.00,0.00,0.00,135.00,98.00,23.00,190.00,68.00,16.00,221.00,128.00,10.00,12.00,5.00,3.00,2.00,0.00
WA,104.00,415.00, 390-2320,0.00,0.00,0.00,140.00,78.00,24.00,203.00,119.00,17.00,204.00,102.00,9.00,11.00,5.00,3.00,2.00,0.00
PA,110.00,510.00, 382-9474,0.00,0.00,0.00,159.00,97.00,27.00,204.00,123.00,17.00,183.00,123.00,8.00,11.00,3.00,3.00,2.00,0.00
TX,145.00,415.00, 351-4288,0.00,0.00,0.00,188.00,110.00,32.00,197.00,117.00,17.00,167.00,108.00,8.00,5.00,4.00,1.00,2.00,0.00
NH,98.00,415.00, 381-9931,0.00,0.00,0.00,243.00,88.00,41.00,147.00,155.00,13.00,156.00,80.00,7.00,10.00,4.00,3.00,2.00,0.00
FL,131.00,408.00, 387-9043,0.00,0.00,0.00,137.00,84.00,23.00,179.00,81.00,15.00,235.00,151.00,11.00,5.00,3.00,1.00,2.00,0.00
MI,110.00,415.00, 379-6936,0.00,0.00,0.00,94.00,127.00,16.00,283.00,97.00,24.00,169.00,69.00,8.00,10.00,6.00,3.00,2.00,0.00
MI,81.00,415.00, 408-3384,0.00,0.00,0.00,154.00,99.00,26.00,198.00,102.00,17.00,199.00,86.00,9.00,6.00,2.00,2.00,2.00,0.00
AZ,97.00,415.00, 416-8332,0.00,0.00,0.00,101.00,74.00,17.00,234.00,88.00,20.00,209.00,79.00,9.00,13.00,3.00,3.00,2.00,0.00
OH,141.00,415.00, 409-3611,0.00,0.00,0.00,216.00,79.00,37.00,113.00,85.00,10.00,222.00,109.00,10.00,6.00,4.00,2.00,2.00,0.00
AL,67.00,415.00, 338-7683,0.00,1.00,28.00,95.00,94.00,16.00,291.00,73.00,25.00,160.00,114.00,7.00,10.00,2.00,3.00,2.00,0.00
MS,109.00,510.00, 375-7103,1.00,0.00,0.00,187.00,106.00,32.00,190.00,103.00,16.00,169.00,128.00,8.00,11.00,6.00,3.00,2.00,0.00
MA,88.00,408.00, 383-5109,0.00,1.00,45.00,80.00,140.00,14.00,153.00,101.00,13.00,309.00,123.00,14.00,13.00,3.00,3.00,2.00,0.00
SD,124.00,408.00, 331-8698,1.00,1.00,29.00,187.00,75.00,32.00,149.00,142.00,13.00,214.00,124.00,10.00,6.00,7.00,1.00,2.00,0.00
ND,124.00,415.00, 351-1466,0.00,0.00,0.00,150.00,101.00,26.00,256.00,112.00,22.00,137.00,62.00,6.00,13.00,4.00,3.00,2.00,0.00
TN,146.00,408.00, 416-8543,1.00,0.00,0.00,160.00,63.00,27.00,208.00,112.00,18.00,178.00,98.00,8.00,9.00,3.00,2.00,2.00,0.00
MD,85.00,510.00, 362-2776,1.00,0.00,0.00,216.00,73.00,37.00,188.00,117.00,16.00,147.00,98.00,7.00,4.00,7.00,1.00,2.00,0.00
NV,183.00,415.00, 330-3429,0.00,0.00,0.00,117.00,92.00,20.00,214.00,112.00,18.00,214.00,112.00,10.00,10.00,6.00,3.00,2.00,0.00
TN,106.00,415.00, 367-2436,0.00,0.00,0.00,119.00,142.00,20.00,228.00,139.00,19.00,198.00,61.00,9.00,8.00,9.00,2.00,2.00,0.00
MN,151.00,415.00, 335-1240,0.00,1.00,31.00,241.00,102.00,41.00,107.00,96.00,9.00,196.00,128.00,9.00,11.00,2.00,3.00,2.00,0.00
NY,157.00,415.00, 421-1189,0.00,0.00,0.00,225.00,111.00,38.00,201.00,99.00,17.00,117.00,118.00,5.00,12.00,2.00,3.00,2.00,0.00
ND,118.00,415.00, 329-3458,0.00,1.00,39.00,92.00,125.00,16.00,220.00,113.00,19.00,229.00,99.00,10.00,13.00,8.00,3.00,2.00,0.00
NY,81.00,408.00, 411-6568,0.00,1.00,36.00,165.00,106.00,28.00,210.00,138.00,18.00,174.00,78.00,8.00,4.00,2.00,1.00,2.00,0.00
AZ,69.00,415.00, 419-3937,0.00,1.00,31.00,195.00,63.00,33.00,192.00,90.00,16.00,153.00,129.00,7.00,13.00,2.00,4.00,2.00,0.00
AL,82.00,415.00, 391-4645,0.00,0.00,0.00,274.00,99.00,47.00,124.00,110.00,11.00,148.00,61.00,7.00,7.00,4.00,2.00,2.00,0.00
MI,50.00,415.00, 361-3779,0.00,1.00,35.00,193.00,97.00,33.00,135.00,101.00,11.00,216.00,101.00,10.00,8.00,2.00,2.00,2.00,0.00
WI,114.00,415.00, 373-7308,0.00,1.00,26.00,137.00,88.00,23.00,156.00,125.00,13.00,248.00,94.00,11.00,12.00,7.00,3.00,2.00,0.00
NY,59.00,408.00, 415-4609,0.00,0.00,0.00,108.00,113.00,18.00,217.00,125.00,18.00,218.00,92.00,10.00,10.00,3.00,3.00,2.00,0.00
OR,89.00,415.00, 357-8515,0.00,1.00,12.00,188.00,105.00,32.00,151.00,107.00,13.00,202.00,132.00,9.00,11.00,3.00,3.00,2.00,0.00
WV,137.00,415.00, 396-9379,0.00,0.00,0.00,84.00,98.00,14.00,260.00,115.00,22.00,198.00,115.00,9.00,10.00,2.00,3.00,2.00,0.00
VT,93.00,408.00, 408-5183,0.00,1.00,32.00,138.00,91.00,23.00,167.00,72.00,14.00,239.00,115.00,11.00,7.00,3.00,2.00,2.00,0.00
AZ,137.00,415.00, 370-4395,0.00,0.00,0.00,141.00,91.00,24.00,147.00,100.00,13.00,255.00,75.00,11.00,8.00,7.00,2.00,2.00,0.00
ME,58.00,415.00, 391-1850,0.00,1.00,29.00,240.00,84.00,41.00,182.00,80.00,15.00,118.00,100.00,5.00,11.00,3.00,3.00,2.00,0.00
RI,106.00,415.00, 371-7947,0.00,0.00,0.00,156.00,90.00,27.00,198.00,101.00,17.00,189.00,95.00,9.00,8.00,2.00,2.00,2.00,0.00
NV,180.00,510.00, 351-1382,0.00,0.00,0.00,139.00,96.00,24.00,225.00,64.00,19.00,171.00,118.00,8.00,16.00,5.00,4.00,2.00,0.00
DE,53.00,415.00, 416-9723,0.00,1.00,32.00,131.00,63.00,22.00,227.00,125.00,19.00,179.00,105.00,8.00,13.00,2.00,3.00,2.00,0.00
NM,16.00,510.00, 367-9259,0.00,0.00,0.00,145.00,84.00,25.00,165.00,141.00,14.00,232.00,75.00,10.00,8.00,4.00,2.00,2.00,0.00
NC,73.00,408.00, 362-8378,0.00,0.00,0.00,188.00,95.00,32.00,149.00,143.00,13.00,201.00,113.00,9.00,11.00,4.00,3.00,2.00,0.00
KY,54.00,408.00, 356-1420,0.00,0.00,0.00,160.00,99.00,27.00,264.00,64.00,22.00,116.00,70.00,5.00,10.00,7.00,3.00,2.00,0.00
ID,108.00,415.00, 417-8487,0.00,0.00,0.00,222.00,105.00,38.00,108.00,107.00,9.00,207.00,87.00,9.00,12.00,3.00,3.00,2.00,0.00
TX,119.00,510.00, 420-6893,0.00,0.00,0.00,107.00,100.00,18.00,221.00,100.00,19.00,213.00,96.00,10.00,8.00,3.00,2.00,2.00,0.00
ND,88.00,415.00, 414-4162,0.00,0.00,0.00,162.00,92.00,27.00,174.00,108.00,15.00,206.00,95.00,9.00,8.00,4.00,2.00,2.00,0.00
UT,47.00,408.00, 350-9720,0.00,1.00,37.00,113.00,150.00,19.00,244.00,97.00,21.00,179.00,112.00,8.00,13.00,6.00,4.00,2.00,0.00
OR,87.00,510.00, 395-1898,0.00,1.00,22.00,241.00,102.00,41.00,76.00,106.00,6.00,225.00,115.00,10.00,7.00,3.00,2.00,2.00,0.00
NM,83.00,510.00, 365-6692,0.00,0.00,0.00,130.00,81.00,22.00,190.00,117.00,16.00,219.00,118.00,10.00,10.00,4.00,3.00,2.00,0.00
AR,57.00,415.00, 349-8594,0.00,1.00,26.00,139.00,99.00,24.00,135.00,105.00,11.00,262.00,95.00,12.00,13.00,5.00,4.00,2.00,0.00
AL,125.00,408.00, 384-9243,0.00,0.00,0.00,169.00,90.00,29.00,156.00,138.00,13.00,211.00,106.00,9.00,12.00,6.00,3.00,2.00,0.00
TN,137.00,408.00, 413-6097,0.00,0.00,0.00,76.00,107.00,13.00,257.00,98.00,22.00,204.00,118.00,9.00,11.00,3.00,3.00,2.00,0.00
MT,143.00,415.00, 387-6440,0.00,0.00,0.00,172.00,97.00,29.00,174.00,108.00,15.00,188.00,119.00,8.00,13.00,4.00,4.00,2.00,0.00
MT,142.00,415.00, 415-8119,0.00,1.00,22.00,198.00,144.00,34.00,157.00,96.00,13.00,181.00,114.00,8.00,11.00,4.00,3.00,2.00,0.00
UT,96.00,415.00, 396-7504,0.00,0.00,0.00,126.00,102.00,21.00,244.00,111.00,21.00,168.00,90.00,8.00,9.00,2.00,2.00,2.00,0.00
WI,105.00,408.00, 406-2213,0.00,0.00,0.00,148.00,103.00,25.00,223.00,78.00,19.00,164.00,102.00,7.00,13.00,3.00,3.00,2.00,0.00
CO,65.00,510.00, 407-5056,0.00,0.00,0.00,159.00,53.00,27.00,189.00,132.00,16.00,189.00,87.00,9.00,10.00,4.00,3.00,2.00,0.00
IN,140.00,415.00, 409-6884,0.00,0.00,0.00,205.00,100.00,35.00,127.00,107.00,11.00,203.00,115.00,9.00,12.00,4.00,3.00,2.00,0.00
WY,109.00,415.00, 328-8808,0.00,0.00,0.00,137.00,128.00,23.00,217.00,116.00,18.00,182.00,86.00,8.00,10.00,5.00,3.00,2.00,0.00
NH,122.00,415.00, 340-3984,0.00,1.00,34.00,205.00,123.00,35.00,203.00,123.00,17.00,127.00,106.00,6.00,11.00,1.00,3.00,2.00,0.00
ID,73.00,510.00, 394-4512,0.00,1.00,28.00,198.00,107.00,34.00,139.00,123.00,12.00,199.00,139.00,9.00,9.00,1.00,2.00,2.00,0.00
MT,25.00,415.00, 359-7694,0.00,0.00,0.00,134.00,98.00,23.00,202.00,109.00,17.00,196.00,100.00,9.00,13.00,5.00,3.00,2.00,0.00
PA,114.00,415.00, 417-4266,0.00,0.00,0.00,155.00,75.00,26.00,170.00,87.00,14.00,207.00,133.00,9.00,13.00,5.00,3.00,2.00,0.00
AR,103.00,415.00, 337-9878,0.00,1.00,31.00,185.00,105.00,32.00,198.00,126.00,17.00,147.00,110.00,7.00,15.00,4.00,4.00,2.00,0.00
LA,69.00,415.00, 401-3615,0.00,0.00,0.00,246.00,128.00,42.00,173.00,101.00,15.00,112.00,118.00,5.00,14.00,7.00,4.00,2.00,0.00
SD,64.00,415.00, 395-6758,0.00,0.00,0.00,175.00,98.00,30.00,180.00,103.00,15.00,179.00,89.00,8.00,11.00,2.00,3.00,2.00,0.00
SC,159.00,415.00, 394-9825,0.00,1.00,23.00,154.00,93.00,26.00,217.00,88.00,18.00,161.00,91.00,7.00,13.00,3.00,3.00,2.00,0.00
WY,185.00,415.00, 405-7904,1.00,1.00,30.00,154.00,114.00,26.00,119.00,106.00,10.00,258.00,105.00,12.00,13.00,3.00,3.00,2.00,0.00
NJ,134.00,415.00, 411-3547,0.00,1.00,32.00,224.00,75.00,38.00,98.00,103.00,8.00,212.00,80.00,10.00,11.00,5.00,3.00,2.00,0.00
MS,38.00,415.00, 386-2970,0.00,0.00,0.00,117.00,114.00,20.00,209.00,105.00,18.00,203.00,98.00,9.00,14.00,2.00,4.00,2.00,0.00
OH,92.00,415.00, 354-4763,0.00,0.00,0.00,146.00,90.00,25.00,148.00,105.00,13.00,241.00,93.00,11.00,8.00,1.00,2.00,2.00,0.00
IA,105.00,510.00, 349-4070,0.00,1.00,15.00,88.00,125.00,15.00,176.00,142.00,15.00,270.00,85.00,12.00,10.00,1.00,3.00,2.00,0.00
MI,105.00,510.00, 367-1062,0.00,0.00,0.00,141.00,109.00,24.00,179.00,51.00,15.00,217.00,83.00,10.00,7.00,3.00,2.00,2.00,0.00
IL,123.00,408.00, 337-3932,0.00,0.00,0.00,115.00,94.00,20.00,150.00,104.00,13.00,269.00,119.00,12.00,10.00,4.00,3.00,2.00,0.00
UT,80.00,415.00, 361-8630,0.00,0.00,0.00,195.00,65.00,33.00,214.00,80.00,18.00,124.00,96.00,6.00,9.00,6.00,2.00,2.00,0.00
IN,119.00,510.00, 382-4952,0.00,0.00,0.00,155.00,129.00,26.00,194.00,87.00,16.00,181.00,145.00,8.00,13.00,3.00,4.00,2.00,0.00
MD,129.00,415.00, 370-5626,0.00,1.00,34.00,205.00,79.00,35.00,133.00,113.00,11.00,190.00,117.00,9.00,15.00,9.00,4.00,2.00,0.00
VT,72.00,415.00, 418-3017,0.00,1.00,21.00,138.00,113.00,23.00,260.00,83.00,22.00,135.00,118.00,6.00,8.00,2.00,2.00,2.00,0.00
AR,109.00,510.00, 377-9092,0.00,0.00,0.00,171.00,101.00,29.00,240.00,82.00,20.00,119.00,112.00,5.00,11.00,4.00,3.00,2.00,0.00
NC,109.00,510.00, 361-9839,1.00,0.00,0.00,209.00,141.00,36.00,205.00,93.00,17.00,119.00,111.00,5.00,8.00,3.00,2.00,2.00,0.00
DC,130.00,510.00, 330-4364,0.00,0.00,0.00,132.00,81.00,23.00,200.00,110.00,17.00,203.00,103.00,9.00,6.00,1.00,2.00,2.00,0.00
AK,51.00,510.00, 352-9130,1.00,1.00,12.00,136.00,60.00,23.00,201.00,134.00,17.00,192.00,98.00,9.00,12.00,7.00,3.00,2.00,0.00
MS,155.00,408.00, 334-3142,0.00,0.00,0.00,163.00,93.00,28.00,204.00,102.00,17.00,159.00,109.00,7.00,15.00,4.00,4.00,2.00,0.00
IN,32.00,415.00, 341-5178,0.00,0.00,0.00,104.00,78.00,18.00,239.00,115.00,20.00,187.00,70.00,8.00,11.00,4.00,3.00,2.00,0.00
NH,59.00,415.00, 379-8021,0.00,0.00,0.00,164.00,107.00,28.00,187.00,91.00,16.00,179.00,100.00,8.00,10.00,1.00,3.00,2.00,0.00
OK,134.00,415.00, 378-2397,0.00,0.00,0.00,165.00,115.00,28.00,127.00,96.00,11.00,239.00,125.00,11.00,10.00,9.00,3.00,2.00,0.00
VA,104.00,415.00, 390-3956,0.00,0.00,0.00,140.00,112.00,24.00,200.00,127.00,17.00,189.00,104.00,9.00,10.00,2.00,3.00,2.00,0.00
ME,59.00,510.00, 398-4567,0.00,0.00,0.00,166.00,95.00,28.00,239.00,87.00,20.00,123.00,108.00,6.00,10.00,3.00,3.00,2.00,0.00
TN,92.00,510.00, 391-3827,0.00,1.00,25.00,80.00,99.00,14.00,314.00,120.00,27.00,136.00,104.00,6.00,9.00,8.00,3.00,2.00,0.00
WA,40.00,415.00, 352-8305,0.00,1.00,41.00,148.00,74.00,25.00,170.00,88.00,14.00,214.00,102.00,10.00,6.00,5.00,2.00,2.00,0.00
MI,137.00,510.00, 355-9508,0.00,0.00,0.00,206.00,122.00,35.00,128.00,102.00,11.00,195.00,84.00,9.00,9.00,5.00,2.00,2.00,0.00
NY,115.00,408.00, 402-5969,0.00,1.00,30.00,181.00,65.00,31.00,193.00,62.00,16.00,153.00,92.00,7.00,10.00,6.00,3.00,2.00,0.00
KY,73.00,408.00, 369-7295,0.00,0.00,0.00,95.00,121.00,16.00,253.00,83.00,22.00,175.00,86.00,8.00,14.00,2.00,4.00,2.00,0.00
TX,64.00,415.00, 382-8518,0.00,0.00,0.00,168.00,116.00,29.00,192.00,94.00,16.00,167.00,98.00,7.00,10.00,3.00,3.00,2.00,0.00
LA,89.00,415.00, 382-4024,0.00,0.00,0.00,141.00,92.00,24.00,249.00,126.00,21.00,136.00,73.00,6.00,11.00,2.00,3.00,2.00,0.00
MO,136.00,415.00, 358-1329,0.00,0.00,0.00,92.00,109.00,16.00,219.00,115.00,19.00,213.00,80.00,10.00,13.00,4.00,3.00,2.00,0.00
ME,105.00,415.00, 403-4442,0.00,0.00,0.00,157.00,102.00,27.00,140.00,134.00,12.00,227.00,111.00,10.00,12.00,2.00,3.00,2.00,0.00
OH,136.00,408.00, 392-1547,1.00,0.00,0.00,183.00,103.00,31.00,142.00,113.00,12.00,200.00,122.00,9.00,10.00,9.00,3.00,2.00,0.00
VT,93.00,510.00, 338-7709,0.00,1.00,32.00,219.00,117.00,37.00,115.00,61.00,10.00,193.00,85.00,9.00,9.00,5.00,3.00,2.00,0.00
WA,121.00,408.00, 392-2708,0.00,0.00,0.00,208.00,98.00,35.00,211.00,96.00,18.00,110.00,114.00,5.00,8.00,2.00,2.00,2.00,0.00
NV,162.00,415.00, 380-6571,0.00,0.00,0.00,115.00,89.00,20.00,197.00,111.00,17.00,212.00,98.00,10.00,11.00,3.00,3.00,2.00,0.00
MT,101.00,408.00, 362-2787,0.00,1.00,16.00,119.00,112.00,20.00,228.00,97.00,19.00,180.00,111.00,8.00,8.00,5.00,2.00,2.00,0.00
AK,52.00,415.00, 356-5244,0.00,1.00,24.00,171.00,71.00,29.00,201.00,80.00,17.00,159.00,124.00,7.00,4.00,5.00,1.00,2.00,0.00
MI,87.00,415.00, 405-4303,0.00,0.00,0.00,198.00,80.00,34.00,187.00,89.00,16.00,134.00,96.00,6.00,17.00,4.00,4.00,2.00,0.00
SC,108.00,415.00, 413-3643,0.00,0.00,0.00,197.00,78.00,34.00,124.00,101.00,11.00,205.00,107.00,9.00,8.00,4.00,2.00,2.00,0.00
NY,67.00,408.00, 405-2888,0.00,1.00,36.00,116.00,111.00,20.00,238.00,94.00,20.00,170.00,103.00,8.00,10.00,12.00,3.00,2.00,0.00
NJ,42.00,408.00, 342-8002,1.00,0.00,0.00,181.00,127.00,31.00,175.00,94.00,15.00,165.00,114.00,7.00,12.00,6.00,3.00,2.00,0.00
GA,107.00,408.00, 349-3217,0.00,0.00,0.00,115.00,119.00,20.00,240.00,91.00,20.00,165.00,112.00,7.00,13.00,5.00,3.00,2.00,0.00
WI,70.00,415.00, 379-9859,0.00,0.00,0.00,156.00,108.00,27.00,171.00,116.00,15.00,196.00,96.00,9.00,9.00,4.00,2.00,2.00,0.00
HI,130.00,510.00, 416-1447,0.00,0.00,0.00,127.00,101.00,22.00,144.00,105.00,12.00,250.00,117.00,11.00,11.00,8.00,3.00,2.00,0.00
